source_label,source_module,source_occurrence_id,logical_item_id,logical_question_id,source_question_number,question_order,question_type,question_text,highlighted_text,paragraph_id,paragraph_order,start_offset,end_offset,confidence,evidence_kind,reason,candidate_source_question_numbers,passage_text_occurrence_count,offset_verified
5.5A,m1,reading-source-5-5a-m1-rap-08,reading-rap-4986420f2a3c5df66f0fe8d2,reading-rap-4986420f2a3c5df66f0fe8d2-q04,29,4,rap_multiple_choice,What can be inferred about the acceleration of “wear and tear” in floating turbines?,wear and tear,reading-rap-4986420f2a3c5df66f0fe8d2-passage-01-p02,2,405,418,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,29,1,True
5.5A,m1,reading-source-5-5a-m1-rap-13,reading-rap-f3d29f9504924cfb48ba1434,reading-rap-f3d29f9504924cfb48ba1434-q05,35,5,rap_multiple_choice,The word “precipitated” in the passage is closest in meaning to,precipitated,reading-rap-f3d29f9504924cfb48ba1434-passage-01-p02,2,700,712,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,35,1,True
5.5A,m2,reading-source-5-5a-m2-rap-19,reading-rap-9e68f83255448c35a0994ea1,reading-rap-9e68f83255448c35a0994ea1-q02,12,2,rap_multiple_choice,Why does the author mention “gravitational lensing” in the passage?,gravitational lensing,reading-rap-9e68f83255448c35a0994ea1-passage-01-p01,1,559,580,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,12,1,True
5.5A,m2,reading-source-5-5a-m2-rap-19,reading-rap-9e68f83255448c35a0994ea1,reading-rap-9e68f83255448c35a0994ea1-q03,13,3,rap_multiple_choice,The word “minimized” in the passage is closest in meaning to,minimized,reading-rap-9e68f83255448c35a0994ea1-passage-01-p02,2,392,401,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.5B,m1,reading-source-5-5b-m1-rap-08,reading-rap-4986420f2a3c5df66f0fe8d2,reading-rap-4986420f2a3c5df66f0fe8d2-q01,26,1,rap_multiple_choice,The word “harness” in the passage is closest in meaning to,harness,reading-rap-4986420f2a3c5df66f0fe8d2-passage-01-p01,1,587,594,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,26,1,True
5.5B,m1,reading-source-5-5b-m1-rap-08,reading-rap-4986420f2a3c5df66f0fe8d2,reading-rap-4986420f2a3c5df66f0fe8d2-q03,28,3,rap_multiple_choice,Why does the author mention “buoyancy principles”?,buoyancy principles,reading-rap-4986420f2a3c5df66f0fe8d2-passage-01-p02,2,71,90,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,28,1,True
5.5B,m1,reading-source-5-5b-m1-rap-08,reading-rap-4986420f2a3c5df66f0fe8d2,reading-rap-4986420f2a3c5df66f0fe8d2-q04,29,4,rap_multiple_choice,What can be inferred about the acceleration of “wear and tear” in floating turbines?,wear and tear,reading-rap-4986420f2a3c5df66f0fe8d2-passage-01-p02,2,405,418,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,29,1,True
5.5B,m1,reading-source-5-5b-m1-rap-13,reading-rap-f3d29f9504924cfb48ba1434,reading-rap-f3d29f9504924cfb48ba1434-q05,35,5,rap_multiple_choice,The word “precipitated” in the passage is closest in meaning to,precipitated,reading-rap-f3d29f9504924cfb48ba1434-passage-01-p02,2,700,712,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,35,1,True
5.5B,m2,reading-source-5-5b-m2-rap-19,reading-rap-0dd51c79faabdb5cfd63f07e,reading-rap-0dd51c79faabdb5cfd63f07e-q02,12,2,rap_multiple_choice,The word “vigilant” in the passage is closest in meaning to,vigilant,reading-rap-0dd51c79faabdb5cfd63f07e-passage-01-p02,2,236,244,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,12,1,True
5.6A,m1,reading-source-5-6a-m1-rap-08,reading-rap-00d1af757b20b7f4f6440076,reading-rap-00d1af757b20b7f4f6440076-q02,27,2,rap_multiple_choice,The word “transformative” in the passage is closest in meaning to,transformative,reading-rap-00d1af757b20b7f4f6440076-passage-01-p01,1,278,292,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,27,1,True
5.6A,m1,reading-source-5-6a-m1-rap-08,reading-rap-00d1af757b20b7f4f6440076,reading-rap-00d1af757b20b7f4f6440076-q04,29,4,rap_multiple_choice,Why does the author mention “the global spread of wireless technology”?,the global spread of wireless technology,reading-rap-00d1af757b20b7f4f6440076-passage-01-p03,3,448,488,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,29,1,True
5.6A,m1,reading-source-5-6a-m1-rap-13,reading-rap-65673b292aab5d2297ddb13f,reading-rap-65673b292aab5d2297ddb13f-q01,31,1,rap_multiple_choice,The word “anomalies” in the passage is closest in meaning to,anomalies,reading-rap-65673b292aab5d2297ddb13f-passage-01-p01,1,290,299,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.6A,m2,reading-source-5-6a-m2-rap-19,reading-rap-94b83368bbbce780f1162836,reading-rap-94b83368bbbce780f1162836-q03,13,3,rap_multiple_choice,The phrase “tethered to” in the passage is closest in meaning to,tethered to,reading-rap-94b83368bbbce780f1162836-passage-01-p02,2,283,294,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.6A,m2,reading-source-5-6a-m2-rap-19,reading-rap-94b83368bbbce780f1162836,reading-rap-94b83368bbbce780f1162836-q04,14,4,rap_multiple_choice,"The author notes that “all primates, including humans, are social creatures” primarily to","all primates, including humans, are social creatures",reading-rap-94b83368bbbce780f1162836-passage-01-p03,3,275,327,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,14,1,True
5.6B,m1,reading-source-5-6b-m1-rap-08,reading-rap-00d1af757b20b7f4f6440076,reading-rap-00d1af757b20b7f4f6440076-q02,27,2,rap_multiple_choice,The word “transformative” in the passage is closest in meaning to,transformative,reading-rap-00d1af757b20b7f4f6440076-passage-01-p01,1,278,292,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,27,1,True
5.6B,m1,reading-source-5-6b-m1-rap-08,reading-rap-00d1af757b20b7f4f6440076,reading-rap-00d1af757b20b7f4f6440076-q04,29,4,rap_multiple_choice,Why does the author mention “the global spread of wireless technology”?,the global spread of wireless technology,reading-rap-00d1af757b20b7f4f6440076-passage-01-p03,3,448,488,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,29,1,True
5.6B,m1,reading-source-5-6b-m1-rap-13,reading-rap-69611be5fee90ca9b207c69e,reading-rap-69611be5fee90ca9b207c69e-q03,33,3,rap_multiple_choice,The word “Collectively” in the passage is closest in meaning to,Collectively,reading-rap-69611be5fee90ca9b207c69e-passage-01-p02,2,353,365,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,33,1,True
5.6B,m2,reading-source-5-6b-m2-rap-19,reading-rap-b5efb7a2f7351888b25fd0ae,reading-rap-b5efb7a2f7351888b25fd0ae-q01,11,1,rap_multiple_choice,The word “remarkable” in the passage is closest in meaning to,remarkable,reading-rap-b5efb7a2f7351888b25fd0ae-passage-01-p01,1,36,46,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,11,1,True
5.10A,m1,reading-source-5-10a-m1-rap-08,reading-rap-28ff52f3a4ffdbd69e8d95cd,reading-rap-28ff52f3a4ffdbd69e8d95cd-q02,27,2,rap_multiple_choice,Why does the author mention “a prism”?,a prism,reading-rap-28ff52f3a4ffdbd69e8d95cd-passage-01-p01,1,507,514,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,27,1,True
5.10A,m1,reading-source-5-10a-m1-rap-08,reading-rap-28ff52f3a4ffdbd69e8d95cd,reading-rap-28ff52f3a4ffdbd69e8d95cd-q05,30,5,rap_multiple_choice,The word “prophecy” in the passage is closest in meaning to,prophecy,reading-rap-28ff52f3a4ffdbd69e8d95cd-passage-01-p03,3,178,186,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,30,1,True
5.10A,m1,reading-source-5-10a-m1-rap-13,reading-rap-1f2a25af84cd749261037df0,reading-rap-1f2a25af84cd749261037df0-q01,31,1,rap_multiple_choice,The word “subtle” in the passage is closest in meaning to,subtle,reading-rap-1f2a25af84cd749261037df0-passage-01-p01,1,77,83,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.10A,m1,reading-source-5-10a-m1-rap-13,reading-rap-1f2a25af84cd749261037df0,reading-rap-1f2a25af84cd749261037df0-q03,33,3,rap_multiple_choice,Why does the author mention “variations in rock density and the presence of faults or fractures”?,variations in rock density and the presence of faults or fractures,reading-rap-1f2a25af84cd749261037df0-passage-01-p02,2,238,304,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,33,1,True
5.10A,m1,reading-source-5-10a-m1-rap-13,reading-rap-1f2a25af84cd749261037df0,reading-rap-1f2a25af84cd749261037df0-q05,35,5,rap_multiple_choice,What does the author suggest about “filtering methods and cross-referencing data from multiple seismometers”?,filtering methods and cross-referencing data from multiple seismometers,reading-rap-1f2a25af84cd749261037df0-passage-01-p03,3,242,313,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,35,1,True
5.10A,m2,reading-source-5-10a-m2-rap-19,reading-rap-96e6fb86c216f62eead5bb01,reading-rap-96e6fb86c216f62eead5bb01-q01,11,1,rap_multiple_choice,The word “invaluable” in the passage is closest in meaning to,invaluable,reading-rap-96e6fb86c216f62eead5bb01-passage-01-p01,1,234,244,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,11,1,True
5.10B,m1,reading-source-5-10b-m1-rap-13,reading-rap-ce5209524d2340201b2e81d2,reading-rap-ce5209524d2340201b2e81d2-q01,31,1,rap_multiple_choice,The word “amplifies” in the passage is closest in meaning to,amplifies,reading-rap-ce5209524d2340201b2e81d2-passage-01-p02,2,66,75,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.10B,m2,reading-source-5-10b-m2-rap-19,reading-rap-6522c75a66bfa0f293e67432,reading-rap-6522c75a66bfa0f293e67432-q01,11,1,rap_multiple_choice,The word “interplay” in the passage is closest in meaning to,interplay,reading-rap-6522c75a66bfa0f293e67432-passage-01-p01,1,322,331,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,11,1,True
5.10B,m2,reading-source-5-10b-m2-rap-19,reading-rap-6522c75a66bfa0f293e67432,reading-rap-6522c75a66bfa0f293e67432-q04,14,4,rap_multiple_choice,Why does the author mention “patients before surgery”?,patients before surgery,reading-rap-6522c75a66bfa0f293e67432-passage-01-p02,2,495,518,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,14,1,True
5.11A,m1,reading-source-5-11a-m1-rap-13,reading-rap-ce5209524d2340201b2e81d2,reading-rap-ce5209524d2340201b2e81d2-q01,31,1,rap_multiple_choice,The word “amplifies” in the passage is closest in meaning to,amplifies,reading-rap-ce5209524d2340201b2e81d2-passage-01-p02,2,66,75,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.11A,m2,reading-source-5-11a-m2-rap-19,reading-rap-ac764d47560f731d32d42a93,reading-rap-ac764d47560f731d32d42a93-q01,11,1,rap_multiple_choice,The word “subtle” in the passage is closest in meaning to,subtle,reading-rap-ac764d47560f731d32d42a93-passage-01-p01,1,77,83,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,11,1,True
5.11A,m2,reading-source-5-11a-m2-rap-19,reading-rap-ac764d47560f731d32d42a93,reading-rap-ac764d47560f731d32d42a93-q03,13,3,rap_multiple_choice,Why does the author mention “variations in rock density and the presence of faults or fractures”?,variations in rock density and the presence of faults or fractures,reading-rap-ac764d47560f731d32d42a93-passage-01-p02,2,238,304,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.11A,m2,reading-source-5-11a-m2-rap-19,reading-rap-ac764d47560f731d32d42a93,reading-rap-ac764d47560f731d32d42a93-q05,15,5,rap_multiple_choice,What does the author suggest about “filtering methods and cross-referencing data from multiple seismometers”?,filtering methods and cross-referencing data from multiple seismometers,reading-rap-ac764d47560f731d32d42a93-passage-01-p03,3,242,313,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,15,1,True
5.11B,m1,reading-source-5-11b-m1-rap-08,reading-rap-fdeb6000ce9ff3558cc559b5,reading-rap-fdeb6000ce9ff3558cc559b5-q02,27,2,rap_multiple_choice,What does the author suggest may be true of “our sense of control” over our choices?,our sense of control,reading-rap-fdeb6000ce9ff3558cc559b5-passage-01-p01,1,399,419,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,27,1,True
5.11B,m1,reading-source-5-11b-m1-rap-08,reading-rap-fdeb6000ce9ff3558cc559b5,reading-rap-fdeb6000ce9ff3558cc559b5-q04,29,4,rap_multiple_choice,The word “unravel” in the passage is closest in meaning to,unravel,reading-rap-fdeb6000ce9ff3558cc559b5-passage-01-p02,2,632,639,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,29,1,True
5.11B,m1,reading-source-5-11b-m1-rap-13,reading-rap-a6a1d2431d2335daacfac1f5,reading-rap-a6a1d2431d2335daacfac1f5-q02,32,2,rap_multiple_choice,The phrase “advocated for” in the passage is closest in meaning to,advocated for,reading-rap-a6a1d2431d2335daacfac1f5-passage-01-p02,2,236,249,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,32,1,True
5.11B,m1,reading-source-5-11b-m1-rap-13,reading-rap-a6a1d2431d2335daacfac1f5,reading-rap-a6a1d2431d2335daacfac1f5-q03,33,3,rap_multiple_choice,Why does the author discuss the “grid-based approach”?,grid-based approach,reading-rap-a6a1d2431d2335daacfac1f5-passage-01-p02,2,284,303,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,33,1,True
5.11B,m2,reading-source-5-11b-m2-rap-19,reading-rap-150613dd5287e3f4b779eb5a,reading-rap-150613dd5287e3f4b779eb5a-q03,13,3,rap_multiple_choice,The word “stewardship” in the passage is closest in meaning to,stewardship,reading-rap-150613dd5287e3f4b779eb5a-passage-01-p03,3,94,105,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.12,m1,reading-source-5-12-m1-rap-08,reading-rap-a67642faa0d4a3f2aca802b5,reading-rap-a67642faa0d4a3f2aca802b5-q01,26,1,rap_multiple_choice,The word “seamlessly” in the passage is closest in meaning to,seamlessly,reading-rap-a67642faa0d4a3f2aca802b5-passage-01-p01,1,243,253,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,26,1,True
5.12,m1,reading-source-5-12-m1-rap-13,reading-rap-e7ce2874e8c366c253f0bed0,reading-rap-e7ce2874e8c366c253f0bed0-q02,32,2,rap_multiple_choice,The word “fosters” in the passage is closest in meaning to,fosters,reading-rap-e7ce2874e8c366c253f0bed0-passage-01-p02,2,235,242,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,32,1,True
5.12,m2,reading-source-5-12-m2-rap-19,reading-rap-e87bf5f62e80a618270d51db,reading-rap-e87bf5f62e80a618270d51db-q03,13,3,rap_multiple_choice,The word “evocative” in the passage is closest in meaning to,evocative,reading-rap-e87bf5f62e80a618270d51db-passage-01-p03,3,49,58,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.13,m1,reading-source-5-13-m1-rap-13,reading-rap-ed56100135e379e25de1a6d4,reading-rap-ed56100135e379e25de1a6d4-q05,35,5,rap_multiple_choice,The phrase “still in its infancy” in the passage is closest in meaning to,still in its infancy,reading-rap-ed56100135e379e25de1a6d4-passage-01-p04,4,63,83,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,35,1,True
5.13,m2,reading-source-5-13-m2-rap-19,reading-rap-51f18b2b4046d93a70bdd300,reading-rap-51f18b2b4046d93a70bdd300-q03,13,3,rap_multiple_choice,The word “deliberately” in the passage is closest in meaning to,deliberately,reading-rap-51f18b2b4046d93a70bdd300-passage-01-p02,2,460,472,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.13,m2,reading-source-5-13-m2-rap-19,reading-rap-51f18b2b4046d93a70bdd300,reading-rap-51f18b2b4046d93a70bdd300-q04,14,4,rap_multiple_choice,Why does the author mention “autonomy and transparency in patient care”?,autonomy and transparency in patient care,reading-rap-51f18b2b4046d93a70bdd300-passage-01-p03,3,280,321,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,14,1,True
5.17,m1,reading-source-5-17-m1-rap-13,reading-rap-5817366a9ff4cc9c334fb39a,reading-rap-5817366a9ff4cc9c334fb39a-q03,33,3,rap_multiple_choice,Why does the author mention “echo chambers”?,echo chambers,reading-rap-5817366a9ff4cc9c334fb39a-passage-01-p02,2,596,609,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,33,1,True
5.17,m1,reading-source-5-17-m1-rap-13,reading-rap-5817366a9ff4cc9c334fb39a,reading-rap-5817366a9ff4cc9c334fb39a-q04,34,4,rap_multiple_choice,The word “nuanced” in the passage is closest in meaning to,nuanced,reading-rap-5817366a9ff4cc9c334fb39a-passage-01-p02,2,860,867,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,34,1,True
5.17,m2,reading-source-5-17-m2-rap-19,reading-rap-9597f97b9636121c0ef7ec58,reading-rap-9597f97b9636121c0ef7ec58-q03,13,3,rap_multiple_choice,What does the author point out when discussing “context”?,context,reading-rap-9597f97b9636121c0ef7ec58-passage-01-p02,2,338,345,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.17,m2,reading-source-5-17-m2-rap-19,reading-rap-9597f97b9636121c0ef7ec58,reading-rap-9597f97b9636121c0ef7ec58-q04,14,4,rap_multiple_choice,The passage indicates that “legal experts” hold which of the following views?,legal experts,reading-rap-9597f97b9636121c0ef7ec58-passage-01-p03,3,27,40,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,14,1,True
5.17,m2,reading-source-5-17-m2-rap-19,reading-rap-9597f97b9636121c0ef7ec58,reading-rap-9597f97b9636121c0ef7ec58-q05,15,5,rap_multiple_choice,The word “cautiously” in the passage is closest in meaning to,cautiously,reading-rap-9597f97b9636121c0ef7ec58-passage-01-p03,3,492,502,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,15,1,True
5.18A,m1,reading-source-5-18a-m1-rap-08,reading-rap-69611be5fee90ca9b207c69e,reading-rap-69611be5fee90ca9b207c69e-q03,28,3,rap_multiple_choice,The word “Collectively” in the passage is closest in meaning to,Collectively,reading-rap-69611be5fee90ca9b207c69e-passage-01-p02,2,353,365,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,28,1,True
5.18A,m1,reading-source-5-18a-m1-rap-13,reading-rap-cb3cd375aebae1a5539edb81,reading-rap-cb3cd375aebae1a5539edb81-q03,33,3,rap_multiple_choice,The word “impediments” in the passage is closest in meaning to,impediments,reading-rap-cb3cd375aebae1a5539edb81-passage-01-p03,3,267,278,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,33,1,True
5.18A,m2,reading-source-5-18a-m2-rap-19,reading-rap-9e68f83255448c35a0994ea1,reading-rap-9e68f83255448c35a0994ea1-q02,12,2,rap_multiple_choice,Why does the author mention “gravitational lensing” in the passage?,gravitational lensing,reading-rap-9e68f83255448c35a0994ea1-passage-01-p01,1,559,580,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,12,1,True
5.18A,m2,reading-source-5-18a-m2-rap-19,reading-rap-9e68f83255448c35a0994ea1,reading-rap-9e68f83255448c35a0994ea1-q03,13,3,rap_multiple_choice,The word “minimized” in the passage is closest in meaning to,minimized,reading-rap-9e68f83255448c35a0994ea1-passage-01-p02,2,392,401,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,13,1,True
5.18B,m1,reading-source-5-18b-m1-rap-13,reading-rap-18254e6c2471afbb626c22b4,reading-rap-18254e6c2471afbb626c22b4-q01,31,1,rap_multiple_choice,The word “static” in the passage is closest in meaning to,static,reading-rap-18254e6c2471afbb626c22b4-passage-01-p01,1,5,11,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,31,1,True
5.18B,m1,reading-source-5-18b-m1-rap-13,reading-rap-18254e6c2471afbb626c22b4,reading-rap-18254e6c2471afbb626c22b4-q04,34,4,rap_multiple_choice,Why does the author mention “hospitals” and “office spaces”?,hospitals,reading-rap-18254e6c2471afbb626c22b4-passage-01-p03,3,484,493,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,34,1,True
5.18B,m1,reading-source-5-18b-m1-rap-13,reading-rap-18254e6c2471afbb626c22b4,reading-rap-18254e6c2471afbb626c22b4-q04,34,4,rap_multiple_choice,Why does the author mention “hospitals” and “office spaces”?,office spaces,reading-rap-18254e6c2471afbb626c22b4-passage-01-p03,3,568,581,HIGH,unique_exact_quoted_text,DOCX highlighted text exactly equals one quoted word/phrase in exactly one question in the passage group.,34,1,True
