question_id,set_id,set_title,question_order,prompt,sentence_template,blank_count,options_text,correct_order_text,distractors_text,final_sentence,grammar_tags_text
202606-0607-2-Q05,202606-0607-2,6.7 - 2,5,I saw an announcement about the new tech seminar.,______ ______ ______ ______ ______ ______ online?,6,"[""to be"", ""it's"", ""streamed"", ""know if"", ""going"", ""do you""]","[""do you"", ""know if"", ""it's"", ""going"", ""to be"", ""streamed""]",[],Do you know if it's going to be streamed online?,
202606-0607-2-Q06,202606-0607-2,6.7 - 2,6,The presentation on climate change was very informative.,______ ______ ______ ______ ______ review?,5,"[""it will"", ""do you"", ""be available"", ""online for"", ""know if""]","[""do you"", ""know if"", ""it will"", ""be available"", ""online for""]",[],Do you know if it will be available online for review?,
202606-0607-2-Q07,202606-0607-2,6.7 - 2,7,Did you manage to finish the report on time?,There ______ ______ ______ ______ ______ ______ ______ deadline.,7,"[""the"", ""I could"", ""was"", ""by"", ""no way"", ""it"", ""complete""]","[""was"", ""no way"", ""I could"", ""complete"", ""it"", ""by"", ""the""]",[],There was no way I could complete it by the deadline.,
202606-0607-2-Q08,202606-0607-2,6.7 - 2,8,Why was the guest lecturer series postponed?,______ wanted to ______ ______ ______ ______ ______.,6,"[""the organizer"", ""new equipment"", ""know"", ""if the"", ""would arrive"", ""on time""]","[""the organizer"", ""know"", ""if the"", ""new equipment"", ""would arrive"", ""on time""]",[],The organizer wanted to know if the new equipment would arrive on time.,
202606-0607-2-Q09,202606-0607-2,6.7 - 2,9,What did the instructor say about the exam format?,She wanted ______ ______ ______ ______ ______.,5,"[""how the"", ""to clarify"", ""and graded"", ""questions would"", ""be structured""]","[""to clarify"", ""how the"", ""questions would"", ""be structured"", ""and graded""]",[],She wanted to clarify how the questions would be structured and graded.,
202606-0607-2-Q10,202606-0607-2,6.7 - 2,10,What is your favorite place to study?,______ ______ ______ ______ is ______ ______.,6,"[""rooms"", ""the library"", ""best"", ""the"", ""private study"", ""that has""]","[""the library"", ""that has"", ""private study"", ""rooms"", ""the"", ""best""]",[],The library that has private study rooms is the best.,
202606-0607-3-Q01,202606-0607-3,6.7 - 3,1,Did you enjoy the lecture on modern art?,______ found ______ ______ ______ ______ ______.,6,"[""topics"", ""I"", ""none"", ""the"", ""interesting"", ""of""]","[""I"", ""none"", ""of"", ""the"", ""topics"", ""interesting""]",[],I found none of the topics interesting.,
202606-0607-3-Q02,202606-0607-3,6.7 - 3,2,I'm planning to attend the career fair next week.,______ ______ ______ ______ ______ ______?,6,"[""did you"", ""your"", ""print"", ""of"", ""résumé"", ""copies""]","[""did you"", ""print"", ""copies"", ""of"", ""your"", ""résumé""]",[],Did you print copies of your résumé?,
202606-0607-3-Q03,202606-0607-3,6.7 - 3,3,I'm planning to go on a road trip during our semester break.,______ places ______ ______ ______?,4,"[""what"", ""will"", ""visit"", ""you""]","[""what"", ""will"", ""you"", ""visit""]",[],What places will you visit?,
202606-0607-3-Q04,202606-0607-3,6.7 - 3,4,What did the professor say about the final paper?,He wanted ______ ______ ______ ______ ______.,5,"[""if we"", ""our topics"", ""to know"", ""had chosen"", ""yet""]","[""to know"", ""if we"", ""had chosen"", ""our topics"", ""yet""]",[],He wanted to know if we had chosen our topics yet.,
202606-0607-3-Q05,202606-0607-3,6.7 - 3,5,I attended a webinar on effective communication skills yesterday.,______ ______ ______ ______ ______?,5,"[""the recording"", ""do you"", ""will be"", ""know if"", ""available online""]","[""do you"", ""know if"", ""the recording"", ""will be"", ""available online""]",[],Do you know if the recording will be available online?,
202606-0607-3-Q06,202606-0607-3,6.7 - 3,6,I heard the school drama club is putting on a new play next month.,______ ______ ______ ______ sale?,4,"[""already on"", ""do you"", ""know if"", ""tickets are""]","[""do you"", ""know if"", ""tickets are"", ""already on""]",[],Do you know if tickets are already on sale?,
202606-0607-3-Q07,202606-0607-3,6.7 - 3,7,Have you picked a topic for your presentation?,______ ______ ______ ______ ______ ______ ______ a sustainable future.,7,"[""that"", ""energy"", ""I chose"", ""focuses on"", ""renewable"", ""and"", ""a theme""]","[""I chose"", ""a theme"", ""that"", ""focuses on"", ""renewable"", ""energy"", ""and""]",[],I chose a theme that focuses on renewable energy and a sustainable future.,
202606-0607-3-Q08,202606-0607-3,6.7 - 3,8,Why didn't you attend the seminar?,______ ______ ______ for today conflicted ______ ______.,5,"[""my other commitments"", ""was scheduled"", ""the seminar"", ""with"", ""that""]","[""the seminar"", ""that"", ""was scheduled"", ""with"", ""my other commitments""]",[],The seminar that was scheduled for today conflicted with my other commitments.,
202606-0607-3-Q09,202606-0607-3,6.7 - 3,9,Did you have any trouble getting your textbook?,______ ______ ______ ______ ______ ______ the library.,6,"[""available at"", ""professor had"", ""assigned"", ""the book"", ""that my"", ""was""]","[""the book"", ""that my"", ""professor had"", ""assigned"", ""was"", ""available at""]",[],The book that my professor had assigned was available at the library.,
202606-0607-3-Q10,202606-0607-3,6.7 - 3,10,Why do you like that book?,______ ______ ______ ______ are ______ ______.,6,"[""that explore"", ""human"", ""extremely"", ""books"", ""fascinating"", ""psychology""]","[""books"", ""that explore"", ""human"", ""psychology"", ""extremely"", ""fascinating""]",[],Books that explore human psychology are extremely fascinating.,
202606-0609-1-Q01,202606-0609-1,6.9,1,I've been studying French for a few months now.,______ ______ ______ ______ ______ ______?,6,"[""do"", ""how"", ""you"", ""speaking"", ""practice"", ""it""]","[""how"", ""do"", ""you"", ""practice"", ""speaking"", ""it""]",[],How do you practice speaking it?,
202606-0609-1-Q02,202606-0609-1,6.9,2,Where did you buy those shoes for gym class?,______ ______ ______ ______ ______ ______ ______ them.,7,"[""big"", ""the store"", ""is"", ""offering"", ""that is"", ""selling"", ""discounts""]","[""the store"", ""that is"", ""offering"", ""big"", ""discounts"", ""is"", ""selling""]",[],The store that is offering big discounts is selling them.,
202606-0609-1-Q03,202606-0609-1,6.9,3,You missed the first part of the lecture this morning.,Did ______ ______ ______ ______ ______?,5,"[""the"", ""share"", ""the professor"", ""slides"", ""with the class""]","[""the professor"", ""share"", ""the"", ""slides"", ""with the class""]",[],Did the professor share the slides with the class?,
202606-0609-1-Q04,202606-0609-1,6.9,4,Are you coming to the biology seminar tomorrow?,"______, ______ have ______ ______.",4,"[""another"", ""commitment"", ""I"", ""no""]","[""no"", ""I"", ""another"", ""commitment""]",[],"No, I have another commitment.",
202606-0609-1-Q05,202606-0609-1,6.9,5,Why did you choose that science course?,It is ______ ______ ______ ______ ______ ______.,6,"[""expert in"", ""is an"", ""taught by"", ""a professor"", ""who"", ""the field""]","[""taught by"", ""a professor"", ""who"", ""is an"", ""expert in"", ""the field""]",[],It is taught by a professor who is an expert in the field.,
202606-0609-1-Q06,202606-0609-1,6.9,6,Did you see anyone in the lecture hall for the review session?,______ ______ ______ when ______ ______.,5,"[""one was"", ""no"", ""I"", ""there"", ""arrived""]","[""no"", ""one was"", ""there"", ""I"", ""arrived""]",[],No one was there when I arrived.,
202606-0609-1-Q07,202606-0609-1,6.9,7,I'm going to visit the new library on campus.,______ is ______ ______?,3,"[""where"", ""located"", ""it""]","[""where"", ""it"", ""located""]",[],Where is it located?,
202606-0609-1-Q08,202606-0609-1,6.9,8,What did Williams say about the project?,He ______ ______ ______ ______ ______ ______ ______.,7,"[""supposed"", ""is"", ""doesn't"", ""know"", ""when"", ""we"", ""it"", ""to begin""]","[""doesn't"", ""know"", ""when"", ""it"", ""is"", ""supposed"", ""to begin""]","[""we""]",He doesn't know when it is supposed to begin.,
202606-0609-1-Q09,202606-0609-1,6.9,9,Where did you put the class notes?,______ ______ in the drawer ______ ______ ______ ______ ______.,7,"[""I"", ""when"", ""textbooks"", ""where"", ""they"", ""keep"", ""are"", ""the""]","[""they"", ""are"", ""where"", ""I"", ""keep"", ""the"", ""textbooks""]","[""when""]",They are in the drawer where I keep the textbooks.,
202606-0609-1-Q10,202606-0609-1,6.9,10,Why haven't you visited the university's new art exhibit?,I've ______ ______ ______ ______ ______ ______.,6,"[""been"", ""up"", ""other"", ""tied"", ""responsibilities"", ""with""]","[""been"", ""tied"", ""up"", ""with"", ""other"", ""responsibilities""]",[],I've been tied up with other responsibilities.,
202606-0610-1-Q01,202606-0610-1,6.10,1,Do you plan to participate in the school marathon next month?,I have ______ ______ ______ ______ ______ ______.,6,"[""of"", ""the"", ""no intention"", ""in"", ""marathon"", ""running""]","[""no intention"", ""of"", ""running"", ""in"", ""the"", ""marathon""]",[],I have no intention of running in the marathon.,
202606-0610-1-Q02,202606-0610-1,6.10,2,I had to miss the literature class yesterday.,______ ______ ______ ______ ______ someone?,5,"[""get"", ""from"", ""did you"", ""notes"", ""the""]","[""did you"", ""get"", ""the"", ""notes"", ""from""]",[],Did you get the notes from someone?,
202606-0610-1-Q03,202606-0610-1,6.10,3,I'm excited about the school's book club meeting next week.,______ ______ ______ ______ ______ ______ month?,6,"[""what is"", ""book"", ""the"", ""selection"", ""this"", ""for""]","[""what is"", ""the"", ""book"", ""selection"", ""for"", ""this""]",[],What is the book selection for this month?,
202606-0610-1-Q04,202606-0610-1,6.10,4,What did the professor say about the final paper?,He wanted ______ ______ ______ ______ ______.,5,"[""if we"", ""our topics"", ""to know"", ""had chosen"", ""yet""]","[""to know"", ""if we"", ""had chosen"", ""our topics"", ""yet""]",[],He wanted to know if we had chosen our topics yet.,
202606-0610-1-Q05,202606-0610-1,6.10,5,I heard about the photography exhibition at the art gallery.,______ ______ ______ ______?,4,"[""know if"", ""student artists"", ""it features"", ""do you""]","[""do you"", ""know if"", ""it features"", ""student artists""]",[],Do you know if it features student artists?,
202606-0610-1-Q06,202606-0610-1,6.10,6,I saw an advertisement for a new online course in data science.,Can ______ ______ ______ ______ ______ ______?,6,"[""tell"", ""me whether"", ""it includes"", ""you"", ""practical"", ""projects""]","[""you"", ""tell"", ""me whether"", ""it includes"", ""practical"", ""projects""]",[],Can you tell me whether it includes practical projects?,
202606-0610-1-Q07,202606-0610-1,6.10,7,Which book are you reading?,I'm reading ______ ______ ______ ______ ______ ______.,6,"[""exciting"", ""a"", ""that"", ""book"", ""an"", ""recommended"", ""my friend""]","[""an"", ""exciting"", ""book"", ""that"", ""my friend"", ""recommended""]","[""a""]",I'm reading an exciting book that my friend recommended.,
202606-0610-1-Q08,202606-0610-1,6.10,8,Why did you move to a new apartment off campus?,______ ______ ______ ______ ______ ______ issues.,6,"[""in"", ""living"", ""I was"", ""had"", ""maintenance"", ""the one""]","[""the one"", ""I was"", ""living"", ""in"", ""had"", ""maintenance""]",[],The one I was living in had maintenance issues.,
202606-0610-1-Q09,202606-0610-1,6.10,9,Did you see the fireworks display in the quad last night?,______ ______ exploded ______ ______ ______ ______ ______.,7,"[""that"", ""the ones"", ""were my"", ""a heart"", ""in the"", ""favorite"", ""shape of""]","[""the ones"", ""that"", ""in the"", ""shape of"", ""a heart"", ""were my"", ""favorite""]",[],The ones that exploded in the shape of a heart were my favorite.,
202606-0610-1-Q10,202606-0610-1,6.10,10,Where is the best place to buy fresh produce?,______ near ______ ______ ______ ______ ______ ______.,7,"[""the freshest"", ""campus"", ""auditorium"", ""has"", ""the market"", ""produce"", ""the""]","[""the market"", ""the"", ""campus"", ""auditorium"", ""has"", ""the freshest"", ""produce""]",[],The market near the campus auditorium has the freshest produce.,
202606-0614-1-Q01,202606-0614-1,6.14,1,Do you need to borrow my notes from class?,______ ______ took ______ ______ ______.,5,"[""notes"", ""no"", ""my"", ""own"", ""I""]","[""no"", ""I"", ""my"", ""own"", ""notes""]",[],"No, I took my own notes.",
202606-0614-1-Q02,202606-0614-1,6.14,2,Where did you leave your books?,They are ______ ______ ______ ______ ______ ______.,6,"[""walls"", ""has"", ""blue"", ""the"", ""room that"", ""in the""]","[""in the"", ""room that"", ""has"", ""the"", ""blue"", ""walls""]",[],They are in the room that has the blue walls.,
202606-0614-1-Q03,202606-0614-1,6.14,3,Did you enjoy the movie produced by the school's drama club?,______ ______ ______ ______ ______ ______.,6,"[""were"", ""characters"", ""me"", ""none of"", ""the"", ""interesting to""]","[""none of"", ""the"", ""characters"", ""were"", ""interesting to"", ""me""]",[],None of the characters were interesting to me.,
202606-0614-1-Q04,202606-0614-1,6.14,4,Did you attend the team meeting after class yesterday?,______ ______ ______ ______ ______ ______ ______.,7,"[""able to"", ""to"", ""the"", ""I wasn't"", ""meeting"", ""make"", ""it""]","[""I wasn't"", ""able to"", ""make"", ""it"", ""to"", ""the"", ""meeting""]",[],I wasn't able to make it to the meeting.,
202606-0614-1-Q05,202606-0614-1,6.14,5,What was the conference organizer asking you after class?,______ was ______ ______ ______ are.,4,"[""she"", ""who the"", ""keynote speakers"", ""asking""]","[""she"", ""asking"", ""who the"", ""keynote speakers""]",[],She was asking who the keynote speakers are.,
202606-0614-1-Q06,202606-0614-1,6.14,6,I just joined the school gym last week.,______ classes ______ ______ ______?,4,"[""what"", ""they"", ""offer"", ""do""]","[""what"", ""do"", ""they"", ""offer""]",[],What classes do they offer?,
202606-0614-1-Q07,202606-0614-1,6.14,7,Why didn't you attend the seminar last week?,______ ______ ______ ______ ______ ______ commitments.,6,"[""scheduled last"", ""that was"", ""week conflicted"", ""the seminar"", ""with my"", ""other""]","[""the seminar"", ""that was"", ""scheduled last"", ""week conflicted"", ""with my"", ""other""]",[],The seminar that was scheduled last week conflicted with my other commitments.,
202606-0614-1-Q08,202606-0614-1,6.14,8,Are you planning to join us for the make-up class tomorrow?,______ have no ______ ______ ______ ______ ______.,6,"[""intention"", ""class"", ""I"", ""tomorrow's"", ""of"", ""attending""]","[""I"", ""intention"", ""of"", ""attending"", ""tomorrow's"", ""class""]",[],I have no intention of attending tomorrow's class.,
202606-0614-1-Q09,202606-0614-1,6.14,9,Are you going to the class cultural event this weekend?,______ ______ won't ______ ______ ______ ______.,6,"[""able"", ""no"", ""be"", ""I"", ""go"", ""to""]","[""no"", ""I"", ""be"", ""able"", ""to"", ""go""]",[],"No, I won't be able to go.",
202606-0614-1-Q10,202606-0614-1,6.14,10,I heard that the school band is playing a concert downtown next week.,______ ______ ______ ______?,4,"[""do you"", ""tickets are"", ""still available"", ""know if""]","[""do you"", ""know if"", ""tickets are"", ""still available""]",[],Do you know if tickets are still available?,
202606-0615-1-Q01,202606-0615-1,6.15,1,The university's art department is sponsoring a new exhibit at the museum.,______ ______ ______ ______ ______ ______?,6,"[""know whether"", ""it"", ""do you"", ""artists"", ""features"", ""contemporary""]","[""do you"", ""know whether"", ""it"", ""features"", ""contemporary"", ""artists""]",[],Do you know whether it features contemporary artists?,
202606-0615-1-Q02,202606-0615-1,6.15,2,I need to study for my final exams next week.,______ ______ ______ ______ ______ will be ______?,6,"[""the questions"", ""difficult"", ""think"", ""you"", ""that"", ""do""]","[""do"", ""you"", ""think"", ""that"", ""the questions"", ""difficult""]",[],Do you think that the questions will be difficult?,
202606-0615-1-Q03,202606-0615-1,6.15,3,Which course are you taking next semester?,I'm enrolled ______ ______ ______ ______ advanced ______.,5,"[""in the"", ""mathematics"", ""one"", ""that"", ""covers""]","[""in the"", ""one"", ""that"", ""covers"", ""mathematics""]",[],I'm enrolled in the one that covers advanced mathematics.,
202606-0615-1-Q04,202606-0615-1,6.15,4,Did you manage to finish the project by the deadline?,I did ______ ______ ______ ______ ______ ______.,6,"[""complete"", ""enough"", ""not have"", ""to"", ""it"", ""time""]","[""not have"", ""enough"", ""time"", ""to"", ""complete"", ""it""]",[],I did not have enough time to complete it.,
202606-0615-1-Q05,202606-0615-1,6.15,5,I signed up for the painting class next week.,______ ______ ______ ______ ______ ______?,6,"[""I need"", ""there are"", ""to bring"", ""know if"", ""any materials"", ""do you""]","[""do you"", ""know if"", ""there are"", ""any materials"", ""I need"", ""to bring""]",[],Do you know if there are any materials I need to bring?,
202606-0615-1-Q06,202606-0615-1,6.15,6,The guest speaker at the seminar was very knowledgeable.,______ ______ know ______ ______ ______ ______?,6,"[""any additional resources"", ""provided"", ""you"", ""if"", ""do"", ""she""]","[""do"", ""you"", ""if"", ""she"", ""provided"", ""any additional resources""]",[],Do you know if she provided any additional resources?,
202606-0615-1-Q07,202606-0615-1,6.15,7,I finished the presentation slides for our assignment.,______ ______ ______ ______ ______ ______ as well?,6,"[""if"", ""we"", ""a written report"", ""need to submit"", ""know"", ""do you""]","[""do you"", ""know"", ""if"", ""we"", ""need to submit"", ""a written report""]",[],Do you know if we need to submit a written report as well?,
202606-0615-1-Q08,202606-0615-1,6.15,8,I received an email from the professor about the fundraising event.,______ ______ ______ ______ ______?,5,"[""know if"", ""be a"", ""do you"", ""there will"", ""silent auction""]","[""do you"", ""know if"", ""there will"", ""be a"", ""silent auction""]",[],Do you know if there will be a silent auction?,
202606-0615-1-Q09,202606-0615-1,6.15,9,I'm thinking about enrolling in a cooking class.,______ is ______ ______ ______ ______?,5,"[""held"", ""where"", ""class"", ""the"", ""being""]","[""where"", ""the"", ""class"", ""being"", ""held""]",[],Where is the class being held?,
202606-0615-1-Q10,202606-0615-1,6.15,10,Why did you pick this topic for your presentation?,I chose ______ ______ ______ ______ ______ ______.,6,"[""the"", ""has"", ""it because"", ""it's the"", ""topic that"", ""new study report""]","[""it because"", ""it's the"", ""topic that"", ""has"", ""the"", ""new study report""]",[],I chose it because it's the topic that has the new study report.,
