question_id,set_id,set_title,question_order,prompt,sentence_template,blank_count,options_text,correct_order_text,distractors_text,final_sentence,grammar_tags_text
202602-0201-3-Q02,202602-0201-3,2.1 - 3,2,Why are you studying so late?,______ ______ need ______ ______ ______ ______ ______.,7,"[""morning"", ""to"", ""by"", ""finish"", ""I have"", ""an assignment I"", ""tomorrow""]","[""I have"", ""an assignment I"", ""to"", ""finish"", ""by"", ""tomorrow"", ""morning""]",[],I have an assignment I need to finish by tomorrow morning.,infinitive/to phrase; have + noun phrase
202602-0201-3-Q03,202602-0201-3,2.1 - 3,3,Is there any chance that you can finish the class project early?,______ ______ ______ ______ ______ ______ ______ allotted.,7,"[""to"", ""the"", ""take"", ""no,"", ""of time"", ""full amount"", ""it’s going""]","[""no,"", ""it’s going"", ""to"", ""take"", ""the"", ""full amount"", ""of time""]",[],"No, it’s going to take the full amount of time allotted.",negative sentence; infinitive/to phrase
202602-0201-3-Q04,202602-0201-3,2.1 - 3,4,Are you joining us for the debate team practice session?,______ ______ ______ ______ ______ ______.,6,"[""I"", ""engagement"", ""have"", ""prior"", ""a"", ""no,""]","[""no,"", ""I"", ""have"", ""a"", ""prior"", ""engagement""]",[],"No, I have a prior engagement.",negative sentence; have + noun phrase
202602-0201-3-Q05,202602-0201-3,2.1 - 3,5,Why haven’t you replied to my text?,______ ______ ______ ______ ______ ______ ______.,7,"[""in"", ""class"", ""I was"", ""up"", ""my"", ""caught"", ""biology""]","[""I was"", ""caught"", ""up"", ""in"", ""my"", ""biology"", ""class""]",[],I was caught up in my biology class.,basic sentence order
202602-0201-3-Q06,202602-0201-3,2.1 - 3,6,Are you planning to buy a new couch for your dorm room?,______ ______ ______ ______ ______ ______ ______ decide.,7,"[""their"", ""to"", ""next"", ""until"", ""no, I’m"", ""sale"", ""waiting""]","[""no, I’m"", ""waiting"", ""until"", ""their"", ""next"", ""sale"", ""to""]",[],"No, I’m waiting until their next sale to decide.",negative sentence; infinitive/to phrase
202602-0201-3-Q07,202602-0201-3,2.1 - 3,7,Who is presenting in class tomorrow?,______ ______ ______ ______ ______ is.,5,"[""the speaker"", ""don’t"", ""who"", ""I"", ""know""]","[""I"", ""don’t"", ""know"", ""who"", ""the speaker""]",[],I don’t know who the speaker is.,embedded/indirect question; negative sentence
202602-0201-3-Q08,202602-0201-3,2.1 - 3,8,Where did you purchase the supplies for class?,______ ______ ______ ______ ______ ______ ______?,7,"[""if they"", ""like to"", ""offer"", ""know"", ""student"", ""discounts"", ""would you""]","[""would you"", ""like to"", ""know"", ""if they"", ""offer"", ""student"", ""discounts""]",[],Would you like to know if they offer student discounts?,embedded/indirect question; modal/auxiliary; infinitive/to phrase
202602-0201-3-Q09,202602-0201-3,2.1 - 3,9,Who is your favorite classmate?,______ ______ ______ ______ ______ ______ ______.,7,"[""most"", ""the"", ""I"", ""like"", ""who"", ""decide"", ""I can’t""]","[""I can’t"", ""decide"", ""who"", ""I"", ""like"", ""the"", ""most""]",[],I can’t decide who I like the most.,embedded/indirect question; negative sentence; modal/auxiliary; comparison/superlative
202602-0201-3-Q10,202602-0201-3,2.1 - 3,10,Why didn’t you answer your phone?,______ ______ ______ ______ ______ ______ ______.,7,"[""the call"", ""I was"", ""couldn’t"", ""a class"", ""and"", ""take"", ""in""]","[""I was"", ""in"", ""a class"", ""and"", ""couldn’t"", ""take"", ""the call""]",[],I was in a class and couldn’t take the call.,negative sentence
202602-0202-1-Q01,202602-0202-1,2.2 - 1,1,Why were you talking with the professor?,He was curious ______ ______ ______ ______ ______ ______ ______.,7,"[""types of readings"", ""in"", ""out"", ""what"", ""to find"", ""last semester’s class"", ""I enjoyed"", ""prevented""]","[""to find"", ""out"", ""what"", ""types of readings"", ""I enjoyed"", ""in"", ""last semester’s class""]","[""prevented""]",He was curious to find out what types of readings I enjoyed in last semester's class.,infinitive/to phrase
202602-0202-1-Q02,202602-0202-1,2.2 - 1,2,I’m thinking about taking a painting class.,Do ______ ______ ______ ______ ______ ______?,6,"[""have"", ""a"", ""painting"", ""preferred style"", ""of"", ""you""]","[""you"", ""have"", ""a"", ""preferred style"", ""of"", ""painting""]",[],Do you have a preferred style of painting?,have + noun phrase
202602-0202-1-Q03,202602-0202-1,2.2 - 1,3,Did you enjoy the lecture on ancient history?,The topic ______ ______ ______ ______ ______.,5,"[""wasn’t"", ""interesting"", ""me"", ""to"", ""very""]","[""wasn’t"", ""very"", ""interesting"", ""to"", ""me""]",[],The topic wasn't very interesting to me.,negative sentence; infinitive/to phrase
202602-0202-1-Q04,202602-0202-1,2.2 - 1,4,Why did you meet with your advisor this morning?,He wanted ______ ______ ______ ______ ______ ______.,6,"[""sure that"", ""included all"", ""when"", ""to be"", ""the required"", ""courses"", ""my schedule""]","[""to be"", ""sure that"", ""my schedule"", ""included all"", ""the required"", ""courses""]","[""when""]",He wanted to be sure that my schedule included all the required courses.,infinitive/to phrase
202602-0202-1-Q05,202602-0202-1,2.2 - 1,5,Where did you store the materials from last semester’s course?,______ ______ ______ ______ ______ ______ rarely use.,6,"[""the filing cabinet"", ""that"", ""they"", ""in"", ""are"", ""we"", ""where""]","[""they"", ""are"", ""in"", ""the filing cabinet"", ""that"", ""we""]","[""where""]",They are in the filing cabinet that we rarely use.,relative clause
202602-0202-1-Q06,202602-0202-1,2.2 - 1,6,Why did you choose that book to read?,______ ______ ______ ______ ______ ______.,6,"[""It’s"", ""English professor"", ""one recommended"", ""my"", ""by"", ""the""]","[""It’s"", ""the"", ""one recommended"", ""by"", ""my"", ""English professor""]",[],It's the one recommended by my English professor.,basic sentence order
202602-0202-1-Q07,202602-0202-1,2.2 - 1,7,Which song are you practicing for the recital?,______ ______ ______ ______ ______ ______.,6,"[""practicing the"", ""piece"", ""my"", ""that"", ""I’m"", ""professor suggested""]","[""I’m"", ""practicing the"", ""piece"", ""that"", ""my"", ""professor suggested""]",[],I'm practicing the piece that my professor suggested.,relative clause
202602-0202-1-Q08,202602-0202-1,2.2 - 1,8,Who is responsible for organizing the school dance?,______ ______ ______ ______ ______ ______ ______.,7,"[""not"", ""the details"", ""who"", ""handling"", ""I’m"", ""sure"", ""is""]","[""I’m"", ""not"", ""sure"", ""who"", ""is"", ""handling"", ""the details""]",[],I'm not sure who is handling the details.,embedded/indirect question; negative sentence
202602-0202-1-Q09,202602-0202-1,2.2 - 1,9,Did you finish reading the book I lent you?,______ ______ ______ ______ ______ ______ ______.,7,"[""too"", ""school"", ""I’ve"", ""busy"", ""with"", ""been"", ""projects""]","[""I’ve"", ""been"", ""too"", ""busy"", ""with"", ""school"", ""projects""]",[],I've been too busy with school projects.,basic sentence order
202602-0202-1-Q10,202602-0202-1,2.2 - 1,10,I need to study for my exams this weekend.,______ ______ ______ ______ ______ ______ yet?,6,"[""a"", ""study"", ""plan"", ""you"", ""made"", ""have""]","[""have"", ""you"", ""made"", ""a"", ""study"", ""plan""]",[],Have you made a study plan yet?,basic sentence order
202602-0202-2-Q01,202602-0202-2,2.2 - 2,1,Did you finish the assignment before the deadline?,"Unfortunately, ______ ______ ______ ______ ______ ______ ______.",7,"[""to complete"", ""on time"", ""was"", ""I"", ""not"", ""it"", ""able""]","[""I"", ""was"", ""not"", ""able"", ""to complete"", ""it"", ""on time""]",[],"Unfortunately, I was not able to complete it on time.",negative sentence; infinitive/to phrase; be able to
202602-0202-2-Q02,202602-0202-2,2.2 - 2,2,Which college do you want to attend?,My top choice is ______ ______ ______ ______ ______ ______.,6,"[""that"", ""offers"", ""the best"", ""engineering"", ""program"", ""the one""]","[""the one"", ""that"", ""offers"", ""the best"", ""engineering"", ""program""]",[],My top choice is the one that offers the best engineering program.,relative clause; comparison/superlative
202602-0202-2-Q03,202602-0202-2,2.2 - 2,3,Where did you get that information?,______ read it ______ ______ ______ ______ ______.,6,"[""in"", ""that"", ""was"", ""the research paper"", ""published last week"", ""I""]","[""I"", ""in"", ""the research paper"", ""that"", ""was"", ""published last week""]",[],I read it in the research paper that was published last week.,relative clause
202602-0202-2-Q04,202602-0202-2,2.2 - 2,4,Are you going to the new café for lunch today?,"Sorry, but ______ ______ ______ time ______ ______ ______ if I did.",6,"[""complete"", ""destroyed"", ""my assignments"", ""I"", ""wouldn’t have"", ""enough"", ""to""]","[""I"", ""wouldn’t have"", ""enough"", ""to"", ""complete"", ""my assignments""]","[""destroyed""]","Sorry, but I wouldn't have enough time to complete my assignments if I did.",negative sentence; infinitive/to phrase; if-clause
202602-0202-2-Q05,202602-0202-2,2.2 - 2,5,Why did you choose that university?,My teacher ______ ______ ______ ______ ______ ______ ______.,7,"[""interest"", ""the most"", ""that"", ""me"", ""suggested"", ""the school"", ""would""]","[""suggested"", ""that"", ""the school"", ""would"", ""interest"", ""me"", ""the most""]",[],My teacher suggested that the school would interest me the most.,modal/auxiliary; comparison/superlative
202602-0202-2-Q06,202602-0202-2,2.2 - 2,6,How was your semester abroad in Italy?,______ ______ ______ were ______.,4,"[""The places"", ""visited"", ""we"", ""breathtaking""]","[""The places"", ""we"", ""visited"", ""breathtaking""]",[],The places we visited were breathtaking.,basic sentence order
202602-0202-2-Q07,202602-0202-2,2.2 - 2,7,Are you planning to join us for the study group tonight?,______ ______ ______ ______ ______ ______ ______.,7,"[""make"", ""to"", ""I don’t think"", ""able"", ""be"", ""it"", ""I’ll""]","[""I don’t think"", ""I’ll"", ""be"", ""able"", ""to"", ""make"", ""it""]",[],I don't think I'll be able to make it.,negative sentence; infinitive/to phrase; be able to
202602-0202-2-Q08,202602-0202-2,2.2 - 2,8,Do you plan to attend the workshop on Saturday?,"Unfortunately, ______ ______ have ______ ______ ______.",5,"[""I"", ""free time"", ""this weekend"", ""no"", ""am"", ""will""]","[""I"", ""will"", ""no"", ""free time"", ""this weekend""]","[""am""]","Unfortunately, I will have no free time this weekend.",negative sentence; modal/auxiliary; have + noun phrase
202602-0202-2-Q09,202602-0202-2,2.2 - 2,9,I need to study for my final exams next week.,______ ______ ______ ______ ______ will be ______?,6,"[""the questions"", ""difficult"", ""think"", ""you"", ""that"", ""do""]","[""do"", ""you"", ""think"", ""that"", ""the questions"", ""difficult""]",[],Do you think that the questions will be difficult?,modal/auxiliary
202602-0202-2-Q10,202602-0202-2,2.2 - 2,10,Did you attend the team-building exercise last weekend?,______ ______ ______ ______ ______.,5,"[""able"", ""participate"", ""to"", ""wasn’t"", ""I""]","[""I"", ""wasn’t"", ""able"", ""to"", ""participate""]",[],I wasn't able to participate.,negative sentence; infinitive/to phrase; be able to
202602-0202-3-Q01,202602-0202-3,2.2 - 3,1,What did William say about the project?,He ______ ______ ______ ______ ______ ______ ______.,7,"[""supposed"", ""is"", ""doesn’t"", ""know"", ""when"", ""we"", ""it"", ""to begin""]","[""doesn’t"", ""know"", ""when"", ""it"", ""is"", ""supposed"", ""to begin""]","[""we""]",He doesn't know when it is supposed to begin.,negative sentence; infinitive/to phrase; be supposed to
202602-0202-3-Q02,202602-0202-3,2.2 - 3,2,Did you enjoy the art exhibition?,______ ______ ______ ______ ______ ______.,6,"[""Obstruct"", ""appealing"", ""the artwork"", ""find"", ""not"", ""did"", ""I""]","[""I"", ""did"", ""not"", ""find"", ""the artwork"", ""appealing""]","[""Obstruct""]",I did not find the artwork appealing.,negative sentence
202602-0202-3-Q03,202602-0202-3,2.2 - 3,3,Did you like the new offerings in the university cafeteria?,______ ______ ______ ______ ______ ______ to me.,6,"[""The"", ""very"", ""were"", ""not"", ""options"", ""appealing""]","[""The"", ""options"", ""were"", ""not"", ""very"", ""appealing""]",[],The options were not very appealing to me.,negative sentence; infinitive/to phrase
202602-0202-3-Q04,202602-0202-3,2.2 - 3,4,Do you plan to attend the workshop on Saturday?,"Unfortunately, ______ ______ have ______ ______ ______.",5,"[""I"", ""free time"", ""this weekend"", ""no"", ""am"", ""will""]","[""I"", ""will"", ""no"", ""free time"", ""this weekend""]","[""am""]","Unfortunately, I will have no free time this weekend.",negative sentence; modal/auxiliary; have + noun phrase
202602-0202-3-Q05,202602-0202-3,2.2 - 3,5,Did you attend the team-building exercise last weekend?,______ ______ ______ ______ ______.,5,"[""able"", ""participate"", ""to"", ""wasn’t"", ""I""]","[""I"", ""wasn’t"", ""able"", ""to"", ""participate""]",[],I wasn't able to participate.,negative sentence; infinitive/to phrase; be able to
202602-0202-3-Q06,202602-0202-3,2.2 - 3,6,What did Michael say to you?,He was curious ______ ______ ______ ______ ______ ______ ______.,7,"[""we"", ""so"", ""why"", ""about"", ""late to"", ""arrived"", ""did"", ""the graduation ceremony""]","[""about"", ""why"", ""we"", ""arrived"", ""so"", ""late to"", ""the graduation ceremony""]","[""did""]",He was curious about why we arrived so late to the graduation ceremony.,infinitive/to phrase
202602-0202-3-Q07,202602-0202-3,2.2 - 3,7,What did you discuss with the dean?,She ______ ______ ______ ______ ______ ______ ______.,7,"[""Her"", ""if"", ""suggestions"", ""I"", ""for improving"", ""the curriculum"", ""asked"", ""had""]","[""asked"", ""if"", ""I"", ""had"", ""suggestions"", ""for improving"", ""the curriculum""]","[""Her""]",She asked if I had suggestions for improving the curriculum.,basic sentence order
202602-0202-3-Q08,202602-0202-3,2.2 - 3,8,Did you finish reading that book?,______ ______ ______ ______ ______ I have no time ______?,6,"[""I told"", ""have"", ""the reason"", ""for reading anymore"", ""why"", ""you""]","[""have"", ""I told"", ""you"", ""the reason"", ""why"", ""for reading anymore""]",[],Have I told you the reason why I have no time for reading anymore?,negative sentence; have + noun phrase
202602-0202-3-Q09,202602-0202-3,2.2 - 3,9,Are you going to the class dinner tonight?,"I’m sorry ,but ______ ______ ______ ______ ______ ______.",6,"[""do"", ""none"", ""have"", ""time"", ""not"", ""I"", ""to attend""]","[""I"", ""do"", ""not"", ""have"", ""time"", ""to attend""]","[""none""]","I'm sorry, but I do not have time to attend.",negative sentence; infinitive/to phrase
202602-0202-3-Q10,202602-0202-3,2.2 - 3,10,Have you met the new biology professor yet?,______ ______ ______ ______ ______ ______ ______.,7,"[""to"", ""the chance"", ""had"", ""myself"", ""No, I"", ""haven’t"", ""introduce""]","[""No, I"", ""haven’t"", ""had"", ""the chance"", ""to"", ""introduce"", ""myself""]",[],"No, I haven’t had the chance to introduce myself.",negative sentence; infinitive/to phrase
202602-0204-Q01,202602-0204,2.4,1,Are you going to the student assembly after class?,______ ______ ______ ______ ______ ______ ______.,7,"[""go"", ""have"", ""early"", ""today"", ""to"", ""home"", ""no,"", ""I""]","[""no,"", ""I"", ""have"", ""to"", ""go"", ""home"", ""early""]","[""today""]","No, I have to go home early.",negative sentence; infinitive/to phrase
202602-0204-Q02,202602-0204,2.4,2,It looks like the university’s student-faculty parking lot is full.,______ ______ ______ free ______ ______ ______?,6,"[""do you know"", ""nearby"", ""parking"", ""spots"", ""if there are"", ""any""]","[""do you know"", ""if there are"", ""any"", ""parking"", ""spots"", ""nearby""]",[],Do you know if there are any free parking spots nearby?,embedded/indirect question; there be
202602-0204-Q03,202602-0204,2.4,3,Why were you late for the meeting?,______ ______ ______ ______ ______ ______ ______ school.,7,"[""I got"", ""traffic"", ""on"", ""stuck"", ""to"", ""in"", ""the way""]","[""I got"", ""stuck"", ""in"", ""traffic"", ""on"", ""the way"", ""to""]",[],I got stuck in traffic on the way to school.,infinitive/to phrase
202602-0204-Q04,202602-0204,2.4,4,Which dessert are you bringing to the campus holiday party?,______ ______ ______ ______ ______.,5,"[""I’m baking"", ""and strawberries"", ""chocolate"", ""a cake"", ""that has""]","[""I’m baking"", ""a cake"", ""that has"", ""chocolate"", ""and strawberries""]",[],I'm baking a cake that has chocolate and strawberries.,basic sentence order
202602-0204-Q05,202602-0204,2.4,5,Are you coming to the end-of-semester party?,______ ______ ______ ______ ______ ______ ______.,7,"[""another"", ""evening"", ""engagement"", ""that"", ""no,"", ""I"", ""have""]","[""no,"", ""I"", ""have"", ""another"", ""engagement"", ""that"", ""evening""]",[],"No, I have another engagement that evening.",negative sentence; have + noun phrase
202602-0204-Q06,202602-0204,2.4,6,Did you watch the student debate last night?,______ ______ ______ ______ ______ ______ ______ that late.,7,"[""to"", ""up"", ""stay"", ""too"", ""No, I"", ""tired"", ""was""]","[""No, I"", ""was"", ""too"", ""tired"", ""to"", ""stay"", ""up""]",[],"No, I was too tired to stay up.",negative sentence; infinitive/to phrase
202602-0204-Q07,202602-0204,2.4,7,Did you complete the online course?,"No, ______ ______ ______ to ______ ______.",5,"[""I"", ""it"", ""finish"", ""didn’t have"", ""enough time""]","[""I"", ""didn’t have"", ""enough time"", ""finish"", ""it""]",[],I didn't have enough time to finish it.,negative sentence; infinitive/to phrase
202602-0204-Q08,202602-0204,2.4,8,Who wrote the article you mentioned in class?,I’m not ______ ______ ______ ______ ______.,5,"[""who"", ""the"", ""is"", ""author"", ""sure""]","[""sure"", ""who"", ""the"", ""author"", ""is""]",[],I'm not sure who the author is.,embedded/indirect question; negative sentence
202602-0204-Q09,202602-0204,2.4,9,Why are you feeling so happy today?,______ ______ good ______ ______ ______ ______.,6,"[""professor"", ""my"", ""from"", ""some"", ""I received"", ""news""]","[""I received"", ""some"", ""news"", ""from"", ""my"", ""professor""]",[],I received some good news from my professor.,basic sentence order
202602-0204-Q10,202602-0204,2.4,10,Who is your favorite professor?,______ ______ ______ ______ ______ ______ ______,7,"[""who"", ""the"", ""like"", ""most"", ""certain"", ""I’m not"", ""I""]","[""I’m not"", ""certain"", ""who"", ""I"", ""like"", ""the"", ""most""]",[],I'm not certain who I like the most.,negative sentence; comparison/superlative
202602-0218-1-Q01,202602-0218-1,2.18 - 1,1,Where did you get this information?,__ ______ ______ ______ ______ ______ details.,6,"[""the"", ""contained"", ""read for class"", ""all"", ""that I"", ""the article""]","[""the article"", ""that I"", ""read for class"", ""contained"", ""all"", ""the""]",[],The article that I read for class contained all the details.,relative clause
202602-0218-1-Q02,202602-0218-1,2.18 - 1,2,Why didn’t you attend the workshop?,______ ______ ______ ______ ______ ______ fully ______.,7,"[""The session"", ""join"", ""wanted"", ""that I"", ""to"", ""was"", ""booked""]","[""The session"", ""that I"", ""wanted"", ""to"", ""join"", ""was"", ""booked""]",[],The session that I wanted to join was fully booked.,relative clause; infinitive/to phrase
202602-0218-1-Q03,202602-0218-1,2.18 - 1,3,Can you come to the student government meeting tomorrow?,______ afraid I ______ ______ ______ ______ ______.,6,"[""won’t"", ""make"", ""I’m"", ""be able"", ""to"", ""it""]","[""I’m"", ""won’t"", ""be able"", ""to"", ""make"", ""it""]",[],I’m afraid I won’t be able to make it.,negative sentence; infinitive/to phrase; be able to
202602-0218-1-Q04,202602-0218-1,2.18 - 1,4,Which university did you choose to attend?,______ ______ ______ ______ ______ ______ ______ choice.,7,"[""was my"", ""that offers"", ""the university"", ""programs for"", ""my major"", ""the best"", ""first""]","[""the university"", ""that offers"", ""the best"", ""programs for"", ""my major"", ""was my"", ""first""]",[],The university that offers the best programs for my major was my first choice.,relative clause; comparison/superlative
202602-0218-1-Q05,202602-0218-1,2.18 - 1,5,Why did you choose to show this film in class?,______ ______ ______ ______ ______ ______ ______ interesting.,7,"[""movie"", ""seemed"", ""several"", ""awards"", ""the"", ""and"", ""won""]","[""the"", ""movie"", ""won"", ""several"", ""awards"", ""and"", ""seemed""]",[],The movie won several awards and seemed interesting.,basic sentence order
202602-0218-1-Q06,202602-0218-1,2.18 - 1,6,Which gym do you prefer?,______ ______ ______ ______ ______ ______ favorite ______.,7,"[""equipment is"", ""campus gym"", ""that has"", ""the new"", ""the"", ""gym"", ""my""]","[""the"", ""campus gym"", ""that has"", ""the new"", ""equipment is"", ""my"", ""gym""]",[],The campus gym that has the new equipment is my favorite gym.,relative clause; comparison/superlative
202602-0218-1-Q07,202602-0218-1,2.18 - 1,7,Which city did you visit during your school break?,______ ______ ______ ______ ______ ______ ______.,7,"[""cultural attractions"", ""the most"", ""the city"", ""was my"", ""first"", ""choice"", ""that has""]","[""the city"", ""that has"", ""the most"", ""cultural attractions"", ""was my"", ""first"", ""choice""]",[],The city that has the most cultural attractions was my first choice.,relative clause; comparison/superlative
202602-0218-1-Q08,202602-0218-1,2.18 - 1,8,Did you see anyone in the lecture hall for the review session?,______ ______ ______ when ______ ______.,5,"[""one was"", ""no"", ""I"", ""there"", ""arrived""]","[""no"", ""one was"", ""there"", ""I"", ""arrived""]",[],No one was there when I arrived,negative sentence
202602-0218-1-Q09,202602-0218-1,2.18 - 1,9,Where did you buy that jacket?,______ ______ ______ that ______ ______ ______,6,"[""is located"", ""it at"", ""I got"", ""the store"", ""near"", ""the campus rec center""]","[""I got"", ""it at"", ""the store"", ""is located"", ""near"", ""the campus rec center""]",[],I got it at the store that is located near the campus rec center.,relative clause
202602-0218-1-Q10,202602-0218-1,2.18 - 1,10,Which off-campus restaurant do you like most?,______ ______ ______ ______ ______ ______ seafood dishes.,6,"[""the public library"", ""located near"", ""best"", ""the"", ""makes"", ""the one""]","[""the one"", ""located near"", ""the public library"", ""makes"", ""the"", ""best""]",[],The one located near the public library makes the best seafood dishes.,comparison/superlative
